date,Astrology,Horoscope,Fortune telling,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Magic spells,Occult,Spiritual healing,Witchcraft,Mediumship,Superstition
2016-11-13,57,57,0,63,58,58,25,29,97,71,81,0,50,0,68
2016-11-20,55,58,0,67,54,57,26,24,68,50,63,0,38,0,66
2016-11-27,73,63,0,58,65,57,26,28,66,42,84,0,55,0,56
2016-12-04,59,59,0,61,67,66,33,14,65,54,82,0,50,0,67
2016-12-11,59,58,0,51,48,51,21,27,75,78,88,58,53,0,58
2016-12-18,59,63,0,62,58,55,30,22,57,71,67,0,47,0,61
2016-12-25,68,76,0,74,58,83,31,24,61,82,82,0,51,0,75
2017-01-01,81,95,20,81,64,100,46,26,75,73,72,83,51,0,73
2017-01-08,62,67,19,60,57,70,24,21,67,85,80,57,51,0,100
2017-01-15,63,65,18,69,66,69,33,16,63,38,62,0,40,0,66
2017-01-22,70,69,19,62,65,65,53,24,56,63,78,0,44,0,65
2017-01-29,78,71,0,59,59,57,39,16,63,45,64,0,45,0,78
2017-02-05,69,65,0,61,58,49,32,24,79,67,86,0,48,0,69
2017-02-12,57,62,0,53,59,60,52,21,68,42,87,57,36,0,73
2017-02-19,61,62,0,61,61,51,37,26,63,62,75,52,42,0,67
2017-02-26,64,58,24,62,57,57,38,22,47,0,90,0,48,0,52
2017-03-05,58,62,23,63,58,54,42,19,50,58,77,57,43,0,62
2017-03-12,54,56,0,55,54,59,28,0,53,71,85,69,50,0,60
2017-03-19,56,60,0,61,50,54,31,26,45,67,68,53,44,0,66
2017-03-26,58,61,0,56,44,53,42,21,63,66,71,51,100,0,66
2017-04-02,56,58,0,62,52,56,41,17,66,79,80,48,52,0,83
2017-04-09,60,59,25,61,48,53,47,23,63,59,67,0,49,0,79
2017-04-16,55,59,0,58,49,53,40,18,64,65,63,0,44,0,72
2017-04-23,53,59,0,66,53,53,42,15,62,58,80,55,39,0,45
2017-04-30,57,64,0,61,56,60,35,20,58,50,79,62,41,0,68
2017-05-07,53,59,0,59,57,59,40,27,78,71,74,0,41,0,53
2017-05-14,49,57,0,60,59,60,26,17,65,37,74,0,36,0,64
2017-05-21,48,59,21,59,59,56,36,18,44,72,89,0,38,0,56
2017-05-28,64,60,0,53,69,64,22,13,79,73,88,0,40,0,63
2017-06-04,63,60,0,57,56,55,39,17,61,0,77,0,70,0,63
2017-06-11,57,58,0,55,62,57,36,25,52,59,74,0,46,0,69
2017-06-18,59,60,0,57,56,49,29,21,57,52,81,72,44,0,54
