"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2017","1.2736","1.2787","1.2817","1.2724","","-0.31%"
"06/16/2017","1.2776","1.2754","1.2806","1.2748","","0.16%"
"06/15/2017","1.2755","1.2750","1.2796","1.2689","","0.02%"
"06/14/2017","1.2752","1.2755","1.2818","1.2722","","-0.01%"
"06/13/2017","1.2753","1.2660","1.2759","1.2642","","0.77%"
"06/12/2017","1.2656","1.2731","1.2771","1.2637","","-0.70%"
"06/09/2017","1.2745","1.2958","1.2964","1.2637","","-1.61%"
"06/08/2017","1.2953","1.2961","1.2979","1.2907","","-0.06%"
"06/07/2017","1.2961","1.2912","1.2969","1.2887","","0.39%"
"06/06/2017","1.2911","1.2905","1.2953","1.2874","","0.06%"
"06/05/2017","1.2903","1.2850","1.2942","1.2847","","0.12%"
"06/02/2017","1.2887","1.2881","1.2908","1.2849","","0.05%"
"06/01/2017","1.2881","1.2889","1.2916","1.2830","","-0.07%"
"05/31/2017","1.2890","1.2859","1.2921","1.2769","","0.25%"
"05/30/2017","1.2858","1.2837","1.2890","1.2792","","0.13%"
"05/29/2017","1.2841","1.2807","1.2853","1.2791","","0.29%"
"05/26/2017","1.2804","1.2942","1.2949","1.2773","","-1.05%"
"05/25/2017","1.2940","1.2969","1.3013","1.2929","","-0.26%"
"05/24/2017","1.2974","1.2961","1.3000","1.2925","","0.09%"
"05/23/2017","1.2962","1.3000","1.3036","1.2954","","-0.29%"
"05/22/2017","1.3000","1.3007","1.3044","1.2965","","-0.27%"
"05/19/2017","1.3035","1.2936","1.3040","1.2927","","0.74%"
"05/18/2017","1.2939","1.2969","1.3051","1.2893","","-0.26%"
"05/17/2017","1.2973","1.2918","1.2994","1.2907","","0.43%"
"05/16/2017","1.2917","1.2896","1.2958","1.2866","","0.19%"
"05/15/2017","1.2893","1.2888","1.2940","1.2873","","0.02%"
"05/12/2017","1.2891","1.2886","1.2900","1.2843","","0.04%"
"05/11/2017","1.2886","1.2942","1.2953","1.2852","","-0.40%"
"05/10/2017","1.2938","1.2933","1.2989","1.2926","","0.02%"
"05/09/2017","1.2935","1.2944","1.2961","1.2902","","-0.04%"
"05/08/2017","1.2940","1.2981","1.2992","1.2929","","-0.32%"
"05/05/2017","1.2981","1.2920","1.2985","1.2900","","0.46%"
"05/04/2017","1.2921","1.2864","1.2931","1.2830","","0.42%"
"05/03/2017","1.2867","1.2940","1.2953","1.2865","","-0.55%"
"05/02/2017","1.2938","1.2888","1.2943","1.2865","","0.40%"
"05/01/2017","1.2886","1.2951","1.2955","1.2879","","-0.50%"
"04/28/2017","1.2951","1.2908","1.2970","1.2889","","0.36%"
"04/27/2017","1.2904","1.2846","1.2916","1.2836","","0.44%"
"04/26/2017","1.2847","1.2840","1.2864","1.2804","","0.05%"
"04/25/2017","1.2841","1.2795","1.2846","1.2772","","0.37%"
"04/24/2017","1.2794","1.2842","1.2871","1.2770","","-0.15%"
"04/21/2017","1.2813","1.2813","1.2835","1.2759","","0.00%"
"04/20/2017","1.2813","1.2782","1.2851","1.2775","","0.27%"
"04/19/2017","1.2779","1.2839","1.2862","1.2768","","-0.48%"
"04/18/2017","1.2841","1.2569","1.2909","1.2518","","2.20%"
"04/17/2017","1.2565","1.2531","1.2599","1.2526","","0.33%"
"04/14/2017","1.2524","1.2503","1.2537","1.2500","","0.14%"
"04/13/2017","1.2506","1.2537","1.2575","1.2497","","-0.27%"
"04/12/2017","1.2540","1.2491","1.2550","1.2479","","0.39%"
"04/11/2017","1.2491","1.2412","1.2497","1.2404","","0.62%"
"04/10/2017","1.2414","1.2384","1.2432","1.2367","","0.33%"
"04/07/2017","1.2373","1.2468","1.2478","1.2363","","-0.78%"
"04/06/2017","1.2470","1.2486","1.2508","1.2451","","-0.10%"
"04/05/2017","1.2483","1.2440","1.2501","1.2423","","0.34%"
"04/04/2017","1.2441","1.2488","1.2496","1.2418","","-0.37%"
"04/03/2017","1.2487","1.2540","1.2556","1.2464","","-0.50%"
"03/31/2017","1.2550","1.2472","1.2562","1.2436","","0.65%"
"03/30/2017","1.2469","1.2433","1.2529","1.2405","","0.28%"
"03/29/2017","1.2434","1.2447","1.2476","1.2377","","-0.13%"
"03/28/2017","1.2450","1.2559","1.2598","1.2439","","-0.84%"
"03/27/2017","1.2556","1.2487","1.2618","1.2476","","0.69%"
"03/24/2017","1.2470","1.2521","1.2524","1.2468","","-0.41%"
"03/23/2017","1.2521","1.2484","1.2532","1.2461","","0.30%"
"03/22/2017","1.2484","1.2477","1.2507","1.2423","","0.04%"
"03/21/2017","1.2479","1.2358","1.2496","1.2340","","0.98%"
"03/20/2017","1.2358","1.2400","1.2437","1.2335","","-0.29%"
"03/17/2017","1.2394","1.2359","1.2406","1.2323","","0.28%"
"03/16/2017","1.2360","1.2289","1.2378","1.2241","","0.55%"
"03/15/2017","1.2292","1.2153","1.2309","1.2139","","1.14%"
"03/14/2017","1.2154","1.2219","1.2228","1.2108","","-0.53%"
"03/13/2017","1.2219","1.2162","1.2252","1.2149","","0.39%"
"03/10/2017","1.2171","1.2168","1.2190","1.2140","","0.03%"
"03/09/2017","1.2167","1.2166","1.2195","1.2134","","-0.02%"
"03/08/2017","1.2170","1.2199","1.2216","1.2140","","-0.25%"
"03/07/2017","1.2200","1.2235","1.2253","1.2168","","-0.29%"
"03/06/2017","1.2236","1.2294","1.2302","1.2223","","-0.48%"
"03/03/2017","1.2295","1.2270","1.2304","1.2217","","0.23%"
"03/02/2017","1.2267","1.2289","1.2308","1.2242","","-0.23%"
